word,datetime,tag,mastered,learning,favorite
spell,2022-12-07 00:14:16,,0,0,0
bee,2022-12-07 00:14:18,diamonds,0,0,0
spell,2022-12-07 00:14:53,,0,0,0
bee,2022-12-07 00:14:54,diamonds,0,0,0
antique,2022-12-01 13:32:33,diamonds,0,0,0
introspect,2022-12-01 13:32:34,diamonds,0,0,1
wisdom,2022-12-01 13:32:35,diamonds,0,0,1
change,2022-12-01 13:32:37,,0,0,1
aware,2022-12-01 13:32:38,test,0,0,1
environment,2022-12-01 13:32:40,,0,0,0
placebo,2022-12-01 13:32:41,,0,0,0
effect,2022-12-01 13:32:43,,0,0,0
butterfly,2022-12-01 13:32:45,,0,0,1
reindeer,2022-12-01 13:32:46,,0,0,0
antique,2022-12-01 13:38:52,diamonds,0,0,0
antique,2022-12-01 13:39:25,diamonds,0,0,0
introspect,2022-12-01 13:39:26,diamonds,0,0,1
wisdom,2022-12-01 13:39:27,diamonds,0,0,1
change,2022-12-01 13:39:28,,0,0,1
aware,2022-12-01 13:39:30,test,0,0,1
environment,2022-12-01 13:39:31,,0,0,0
placebo,2022-12-01 13:39:32,,0,0,0
effect,2022-12-01 13:39:34,,0,0,0
butterfly,2022-12-01 13:39:35,,0,0,1
reindeer,2022-12-01 13:39:36,,0,0,0
antique,2022-12-01 13:39:46,diamonds,0,0,0
introspect,2022-12-01 13:39:48,diamonds,0,0,1
wisdom,2022-12-01 13:39:49,diamonds,0,0,1
change,2022-12-01 13:39:50,,0,0,1
aware,2022-12-01 13:39:51,test,0,0,1
environment,2022-12-01 13:39:53,,0,0,0
placebo,2022-12-01 13:39:54,,0,0,0
effect,2022-12-01 13:39:55,,0,0,0
butterfly,2022-12-01 13:39:57,,0,0,1
reindeer,2022-12-01 13:39:58,,0,0,0
gems,2022-12-01 13:42:23,diamonds,0,0,0
gems,2022-12-01 13:42:49,diamonds,0,0,0
introspect,2022-12-01 14:01:25,diamonds,0,0,1
introspect,2022-12-01 14:01:37,diamonds,0,0,1
introspect,2022-12-01 14:02:15,diamonds,0,0,1
gems,2022-12-01 14:02:16,diamonds,0,0,0
wisdom,2022-12-01 15:04:04,diamonds,0,0,1
change,2022-12-01 15:04:06,,0,0,1
