abhorrent,aberrant
accept,except
ado,adieu
adopt,adapt
adverse,averse
affect,effect
afflict,inflict
aggravate,irritate
allot,a lot
allowed,aloud
allude,elude
allusion,illusion,delusion
illusion,delusion
alter,altar
alternate,alternative
ambiguous,ambivalent
amicable,amiable
amoral,immoral
amuse,bemuse
anecdote,antidote
appraise,apprise
ascent,assent
assume,presume
assure,ensure,insure
ensure,insure
aural,oral,verbal
oral,verbal
aver,avow
bare,bear
bazaar,bizarre
border,boarder
breach,breech
bridal,bridle
broach,brooch
callus,callous
cannon,canon
canvas,canvass
capital,capitol
censor,censure
chord,cord
cite,site,sight
site,sight
climactic,climatic
complement,compliment
compose,comprise
concurrent,consecutive
confident,confidant
connotation,denotation
connote,denote
conscious,conscience
contemptible,contemptuous
continual,continuous
correlation,corollary
council,counsel
decent,descent,dissent
descent,dissent
definitely,definitively
demur,demure
desert,dessert
didactic,pedantic
disassemble,dissemble
discomfit,discomfort
discreet,discrete
disillusion,dissolution
disinterested,uninterested
disperse,disburse
dual,duel
economic,economical
elusive,illusive
emigrate,immigrate,migrate
immigrate,migrate
eminent,imminent
eminent,imminent,immanent
imminent,immanent
empathy,sympathy
endemic,epidemic
entitle,title
entomology,etymology
envelop,envelope
envy,jealousy
epidemic,pandemic
epigram,epigraph
epitaph,epithet
especially,specially
exalt,exult
exercise,exorcise
expedient,expeditious
extant,extent
facetious,factious,fatuous
factious,fatuous
factious,fractious
faint,feint
farther,further
faze,phase
ferment,foment
fictional,fictitious,fictive
fictitious,fictive
figuratively,literally
flair,flare
flaunt,flout
flounder,founder
formerly,formally
formidable,formative
fortunate,fortuitous
gambit,gamut
gibe,jibe
gig,jig
gorilla,guerrilla
grisly,gristly,grizzly
gristly,grizzly
hale,hail
healthful,healthy
hero,protagonist
historic,historical
hoard,horde
homonym,homophone,homograph
homophone,homograph
hone,home
imply,infer
incredible,incredulous
indeterminate,indeterminable
indict,indite
inflammable,inflammatory
ingenious,ingenuous
insidious,invidious
instant,instance
intense,intensive,intent
intensive,intent
introvert,extrovert
irony,satire,sarcasm
satire,sarcasm
it's,its
laudable,laudatory
lay,lie
loath,loathe
lose,loose
luxuriant,luxurious
mantle,mantel
marital,martial
mean,median,average
median,average
medal,meddle,mettle
meddle,mettle
metaphor,simile
moral,morale
morbid,moribund
nauseated,nauseous
naval,navel
objective,subjective
optimistic,pessimistic
overdue,overdo
palate,palette,pallet
palette,pallet
paradox,oxymoron
parameter,perimeter
parody,parity
peak,peek,pique
peek,pique
peddle,pedal,petal
pedal,petal
persecute,prosecute
personal,personnel
pitiable,pitiful,piteous,pitiless
pitiful,piteous,pitiless
piteous,pitiless
pore,pour
practical,practicable
pragmatic,dogmatic
precede,proceed
precedent,president
predominate,predominant
premier,premiere
prescribe,proscribe
pretentious,portentous
principal,principle
prophecy,prophesy
prostate,prostrate
quote,quotation
rebut,refute
regrettably,regretfully
reluctant,reticent
respectfully,respectively
sac,sack
scrimp,skimp
sensor,censor,censer
censor,censer
sensual,sensuous
simple,simplistic
slight,sleight
stationary,stationery
statue,statute
than,then
that,which
their,there,they're
there,they're
tortuous,torturous
troop,troupe
turbid,turgid
unconscionable,unconscious
undo,undue
unexceptional,unexceptionable
vain,vein,vane
vein,vane
venal,venial
veracious,voracious
wave,waive
weather,whether,wether
whether,wether
who,whom
who's,whose
wreck,wreak,reek
wreak,reek
your,you're
